Screening Type(s),Health Screening Location,Name,ID Type,ID Number,Date of Birth,Email Address,Ethnicity (Race),Gender,Personal - Anaemia,Personal - Diabetes Mellitus,Personal - High Blood Pressure,Personal - High Cholesterol/Lipid Disorder,Personal - Heart Disease,Personal - Other Medical/Surgical Conditions,Personal - Current Medications,Family - Diabetes Mellitus,Family - High Cholesterol/Lipid Disorder,Family - High Blood Pressure,Family - Heart Diseases,Family - Other Diseases,Lifestyle - Currently Smoking,Lifestyle - Alcohol,Lifestyle - Exercise,Acknowledged Declaration,Consent to Disclose to Employer/Insurer,Date Signed
Pre/Re Employment,Parkway Shenton Medical Clinic (Tembeling Centre),Devi Daniel,NRIC/FIN,T7724393I,07/09/1989,daniel.devi76@hotmail.com,Others,Male,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,04/08/2026
IHH Pre/Re Employment; Asbestos Hazard; Mercury Hazard,Parkway Shenton Medical Clinic (Bedok Central),Koh Hafiz,NRIC/FIN,S5590865B,17/06/1979,hafiz.koh90@hotmail.com,Asian,Male,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,04/08/2026
Pre/Re Employment,NCS Medical Clinic,Ong Sheng Yang,NRIC/FIN,S6453426J,18/08/2008,yang.ong31@outlook.com,Malay,Male,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,04/08/2026
Pre/Re Employment,Parkway Shenton Medical Clinic (Bukit Panjang Plaza),Yeo Hafiz,NRIC/FIN,T2305378D,05/05/2004,hafiz.yeo17@outlook.com,Asian,Male,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,04/08/2026
Pre/Re Employment; Asbestos Hazard,Parkway Shenton Medical Clinic (Bedok Central),Wong Nur Aisyah,NRIC/FIN,S5782670A,07/09/1981,aisyah.wong91@hotmail.com,Malay,Female,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,04/08/2026
IHH Pre/Re Employment,Shenton Medical Group (Esplanade Xchange),Wong Sheng Yang,NRIC/FIN,S7328336A,18/05/1963,yang.wong48@gmail.com,Chinese,Male,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,04/08/2026
Pre/Re Employment; Trichloroethylene Hazard,Shenton Medical Group (Serangoon Central),Singh Hui Min,NRIC/FIN,S3304606D,20/07/1993,min.singh4@gmail.com,Malay,Female,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,04/08/2026
"Pre/Re Employment; Tar, Pitch, Bitumen & Creosote Hazard",Shenton Medical Group (Woodlands MRT),Koh Xin Yi,NRIC/FIN,T4280754H,06/11/1999,yi.koh3@hotmail.com,Indian,Female,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,04/08/2026
Pre/Re Employment,Shenton Medical Group (Esplanade Xchange),Chua Amir,NRIC/FIN,T7615632C,19/10/2000,amir.chua77@yahoo.com,Chinese,Male,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,04/08/2026
Pre/Re Employment,Shenton Medical Group (Woodlands MRT),Wong Kai Xuan,NRIC/FIN,T8367772B,21/09/2008,xuan.wong13@icloud.com,Chinese,Male,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,04/08/2026
Pre/Re Employment,Parkway Shenton Medical Clinic (Serangoon North),Lee Xin Yi,NRIC/FIN,S1848566F,07/05/1967,yi.lee35@icloud.com,Indian,Female,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,04/08/2026
Pre/Re Employment; Noise Hazard,Shenton Medical Group (Toh Yi),Kumar Sheng Yang,NRIC/FIN,S8001691D,08/10/1993,yang.kumar83@hotmail.com,Chinese,Male,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,04/08/2026
IHH Pre/Re Employment; Arsenic Hazard,Shenton Medical Group (Toh Yi),Singh Charlotte,NRIC/FIN,T3640889F,15/10/1965,charlotte.singh79@icloud.com,Chinese,Female,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,04/08/2026
Pre/Re Employment,Parkway Shenton Medical Clinic (Bukit Batok Central),Ali Arjun,NRIC/FIN,T7014583I,09/12/2001,arjun.ali35@yahoo.com,Malay,Male,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,04/08/2026
Pre/Re Employment,Parkway Shenton Medical Group (Clementi Central),Devi Jun Kai,NRIC/FIN,T8202195Z,03/01/1999,kai.devi33@gmail.com,Chinese,Male,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,04/08/2026
IHH Pre/Re Employment,Shenton Medical Group (Toa Payoh),Loh Amir,NRIC/FIN,S6398941D,16/01/1980,amir.loh6@outlook.com,Asian,Male,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,04/08/2026
Pre/Re Employment,Shenton Medical Group (Esplanade Xchange),Wong Siti,NRIC/FIN,S1983923C,15/07/2008,siti.wong45@outlook.com,Indian,Female,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,04/08/2026
